Timestamp,Reward
38912,205
40960,219
43008,238
45056,260
47104,275
49152,281
51200,296
53248,299
55296,316
57344,325
59392,343
61440,356
63488,374
65536,387
67584,399
69632,400
71680,407
73728,422
75776,435
77824,441
79872,443
81920,434
83968,447
86016,450
88064,457
90112,466
92160,471
94208,472
96256,483
98304,477
100352,489
102400,487
104448,487
106496,488
108544,499
110592,504
112640,515
114688,523
116736,513
118784,521
120832,510
122880,510
124928,531
126976,523
129024,527
131072,511
133120,520
135168,524
137216,515
139264,526
141312,525
143360,523
145408,513
147456,515
149504,518
151552,524
153600,517
155648,518
157696,526
159744,527
161792,523
163840,528
165888,506
167936,500
169984,512
172032,522
174080,514
176128,509
178176,506
180224,510
182272,511
184320,524
186368,522
188416,514
190464,517
192512,516
194560,504
196608,506
198656,506
200704,523
202752,522
204800,542
206848,532
208896,519
210944,520
212992,526
215040,531
217088,518
219136,524
221184,525
223232,504
225280,508
227328,512
229376,515
231424,510
233472,517
235520,510
237568,516
239616,507
241664,501
243712,485
245760,501
247808,518
249856,522
251904,523
253952,524
256000,525
258048,542
260096,556
262144,538
264192,546
266240,556
268288,547
270336,530
272384,518
274432,525
276480,534
278528,526
280576,524
282624,509
284672,489
286720,481
288768,465
290816,452
292864,447
294912,464
296960,470
299008,466
301056,468
303104,471
305152,485
307200,489
309248,491
311296,498
313344,509
315392,509
317440,509
319488,518
321536,524
323584,539
325632,554
327680,562
329728,569
331776,581
333824,579
335872,577
337920,573
339968,586
342016,584
344064,586
346112,575
348160,576
350208,571
352256,576
354304,574
356352,572
358400,585
360448,589
362496,577
364544,564
366592,561
368640,560
370688,560
372736,560
374784,552
376832,561
378880,568
380928,562
382976,563
385024,570
387072,570
389120,586
391168,581
393216,576
395264,558
397312,560
399360,568
401408,573
403456,570
405504,568
407552,569
409600,553
411648,544
413696,539
415744,510
417792,511
419840,498
421888,505
423936,487
425984,486
428032,490
430080,490
432128,504
434176,511
436224,499
438272,516
440320,510
442368,529
444416,536
446464,542
448512,541
450560,564
452608,575
454656,590
456704,607
458752,614
460800,622
462848,631
464896,632
466944,633
468992,638
471040,630
473088,630
475136,637
477184,637
479232,645
481280,644
483328,634
485376,634
487424,623
489472,624
491520,619
493568,618
495616,614
497664,615
499712,612
501760,618
