Episode,Timestep,Reward
3059,885000,747.8348
3065,888000,612.3115
3075,891000,469.3766
3084,894000,495.8194
3090,897000,711.7121
3096,900000,726.885
3105,903000,457.2824
3111,906000,762.4963
3119,909000,587.156
3127,912000,568.5606
3134,915000,663.1984
3141,918000,743.984
3147,921000,744.7658
3156,924000,525.9716
3165,927000,455.0462
3173,930000,563.0824
3182,933000,555.9507
3188,936000,761.195
3195,939000,568.1166
3201,942000,763.4929
3207,945000,712.4713
3215,948000,562.114
3223,951000,578.7175
3230,954000,690.8781
3236,957000,665.9447
3244,960000,568.3105
3251,963000,651.4809
3258,966000,527.6212
3269,969000,442.8889
3275,972000,669.2981
3281,975000,753.5189
3287,978000,776.1661
3293,981000,685.6359
3302,984000,501.4776
3309,987000,684.2168
3316,990000,502.5135
3323,993000,668.8491
3332,996000,599.7576
3338,999000,728.885
3345,1002000,568.242
3351,1005000,765.9368
3359,1008000,536.6046
3369,1011000,433.2305
3376,1014000,622.3383
3382,1017000,707.9795
3391,1020000,475.8433
3398,1023000,664.5818
3406,1026000,636.569
3412,1029000,682.7179
3422,1032000,452.3885
3429,1035000,670.7095
3437,1038000,531.0646
3444,1041000,573.0146
3454,1044000,475.5064
3462,1047000,567.108
3472,1050000,420.9498
3480,1053000,613.9836
3488,1056000,495.3052
3496,1059000,590.3632
3504,1062000,590.0297
3513,1065000,440.7677
3521,1068000,519.4825
3527,1071000,748.1153
3535,1074000,609.1259
3543,1077000,576.9353
3551,1080000,504.6243
3560,1083000,532.1864
3567,1086000,621.8122
3574,1089000,606.2036
3583,1092000,563.8055
3594,1095000,379.229
3600,1098000,790.6832
3608,1101000,569.6083
3616,1104000,575.9435
3622,1107000,807.1233
3629,1110000,575.2224
3636,1113000,666.5424
3644,1116000,631.3456
3654,1119000,375.502
3661,1122000,675.8263
3668,1125000,641.6534
3676,1128000,493.7599
3685,1131000,491.9627
3693,1134000,584.9155
3702,1137000,471.5947
3708,1140000,794.6739
3715,1143000,686.1082
3722,1146000,564.6817
3730,1149000,598.6029
3736,1152000,791.2206
3746,1155000,439.9888
3753,1158000,684.8902
3760,1161000,667.7176
3766,1164000,795.3179
3772,1167000,832.4781
3780,1170000,596.1773
3787,1173000,545.4328
3795,1176000,558.0779
3803,1179000,611.3228
3811,1182000,590.5384
3817,1185000,742.9577
3823,1188000,650.5162
3831,1191000,540.4316
3841,1194000,482.0931
3849,1197000,617.2616
3855,1200000,783.3359
3862,1203000,595.5143
3870,1206000,598.1821
3878,1209000,609.1336
3886,1212000,567.9205
3894,1215000,496.6177
3903,1218000,526.7412
3910,1221000,669.9438
3916,1224000,624.5674
3927,1227000,433.1219
3934,1230000,654.2448
3941,1233000,695.5632
3948,1236000,513.472
3954,1239000,751.3183
3963,1242000,554.1979
3970,1245000,710.274
3976,1248000,771.2697
3982,1251000,572.3947
3988,1254000,830.9271
3994,1257000,809.7561
4004,1260000,501.9832
4012,1263000,615.5248
4019,1266000,545.1693
4026,1269000,670.888
4035,1272000,517.6589
4041,1275000,678.8128
4049,1278000,567.1773
4056,1281000,694.3784
4063,1284000,685.6854
4069,1287000,645.6685
4075,1290000,796.2285
4082,1293000,684.4945
4093,1296000,458.7405
4100,1299000,585.4305
4108,1302000,623.8295
4117,1305000,514.7831
4124,1308000,697.0669
4130,1311000,610.9831
4137,1314000,662.6901
4145,1317000,568.894
4153,1320000,604.2262
4159,1323000,839.6951
4166,1326000,650.626
4173,1329000,730.1709
4179,1332000,630.7622
4186,1335000,658.7918
4192,1338000,777.9764
4200,1341000,601.0186
4206,1344000,801.3586
4214,1347000,614.3187
4220,1350000,705.1414
4231,1353000,432.007
4238,1356000,713.4581
4244,1359000,614.9713
4252,1362000,616.4663
4259,1365000,684.1169
4266,1368000,645.3377
4274,1371000,623.5897
4281,1374000,693.4362
4288,1377000,677.1535
4296,1380000,516.165
4303,1383000,675.6916
4311,1386000,669.6382
4317,1389000,673.4031
4324,1392000,702.9826
4332,1395000,556.6741
4340,1398000,628.4608
4347,1401000,647.1428
4353,1404000,627.4781
4360,1407000,634.5328
4367,1410000,632.2208
4375,1413000,539.7388
4382,1416000,600.339
4389,1419000,638.381
4396,1422000,574.621
4405,1425000,511.8803
4412,1428000,584.6394
4420,1431000,619.5392
4429,1434000,553.3401
4435,1437000,812.9128
4441,1440000,617.1286
4452,1443000,445.4718
4461,1446000,449.2941
4469,1449000,592.2313
4478,1452000,557.112
4484,1455000,755.0285
4491,1458000,656.9312
4497,1461000,664.5803
4504,1464000,644.022
4510,1467000,750.8323
4517,1470000,669.635
4523,1473000,786.8682
4530,1476000,667.605
4538,1479000,543.4367
4546,1482000,472.079
4556,1485000,481.5049
4563,1488000,546.04
4569,1491000,763.218
4577,1494000,566.5308
4587,1497000,478.0438
4595,1500000,509.531
4602,1503000,698.0999
4608,1506000,790.9076
4615,1509000,668.063
4627,1512000,347.7935
4636,1515000,531.2301
4643,1518000,620.0515
4653,1521000,456.8019
4660,1524000,681.615
4669,1527000,508.2867
4675,1530000,726.1861
4682,1533000,695.8393
4691,1536000,544.0951
4699,1539000,496.1943
4708,1542000,556.6233
4715,1545000,587.3813
4725,1548000,468.9721
4732,1551000,757.2424
4739,1554000,606.9087
4747,1557000,620.8251
4754,1560000,595.1178
4760,1563000,748.5614
4766,1566000,781.9845
4773,1569000,679.7544
4779,1572000,755.4195
4787,1575000,600.099
4794,1578000,685.8784
4800,1581000,763.4573
4808,1584000,612.8964
4814,1587000,798.6889
4820,1590000,602.6599
4829,1593000,547.1993
4836,1596000,687.8153
4842,1599000,752.9107
4851,1602000,436.5293
4858,1605000,650.5832
4867,1608000,483.5313
4874,1611000,696.901
4882,1614000,600.9879
4888,1617000,648.7059
4896,1620000,625.6834
4904,1623000,606.0621
4910,1626000,744.0093
4918,1629000,551.4948
4926,1632000,631.4136
4933,1635000,702.3178
4941,1638000,488.7666
4948,1641000,638.7822
4954,1644000,775.5995
4961,1647000,662.5164
4968,1650000,703.6427
4976,1653000,604.9356
4984,1656000,597.0436
4995,1659000,366.1319
5003,1662000,610.8289
5013,1665000,405.0315
5022,1668000,473.3177
5029,1671000,709.5173
5036,1674000,669.6253
5044,1677000,551.8562
5054,1680000,417.2842
5064,1683000,483.9499
5071,1686000,652.6028
5080,1689000,445.039
5094,1692000,353.1526
5100,1695000,818.0726
5107,1698000,579.1434
5115,1701000,594.8717
5123,1704000,567.5016
5133,1707000,487.1957
5139,1710000,731.9453
5146,1713000,566.0593
5152,1716000,735.2383
5158,1719000,765.8159
5168,1722000,495.4235
5176,1725000,572.0816
5183,1728000,583.1101
5190,1731000,682.9063
5196,1734000,759.1727
5204,1737000,663.8205
5212,1740000,532.9316
5219,1743000,693.4303
5229,1746000,414.2557
5238,1749000,535.9844
5247,1752000,415.9801
5254,1755000,696.3755
5266,1758000,393.8638
5272,1761000,681.1943
5280,1764000,549.0383
5287,1767000,663.1427
5297,1770000,458.3594
5303,1773000,817.165
5310,1776000,650.4866
5318,1779000,590.2562
5325,1782000,647.7974
5331,1785000,738.4086
5338,1788000,573.1874
5345,1791000,672.8768
5353,1794000,613.9539
5360,1797000,676.3819
5369,1800000,473.7533
5378,1803000,514.3946
5386,1806000,484.6497
5393,1809000,651.6638
5402,1812000,464.0107
5410,1815000,590.4659
5419,1818000,548.3799
5427,1821000,573.2138
5433,1824000,847.5167
5439,1827000,774.0238
5445,1830000,805.3492
5453,1833000,594.2654
5459,1836000,674.0135
5467,1839000,628.3478
5474,1842000,672.4865
5480,1845000,798.8258
5487,1848000,666.3811
5493,1851000,780.8081
5502,1854000,538.3524
5509,1857000,549.2386
5516,1860000,623.8309
5525,1863000,550.0492
5531,1866000,667.9448
5541,1869000,536.8273
5549,1872000,487.7034
5556,1875000,649.4208
5564,1878000,582.0874
5573,1881000,506.0284
5579,1884000,808.0956
5588,1887000,476.2609
5597,1890000,483.647
5606,1893000,550.38
5613,1896000,534.5635
5621,1899000,572.6169
5628,1902000,630.6462
5634,1905000,776.512
5640,1908000,806.706
5648,1911000,599.0689
5654,1914000,841.1041
5660,1917000,764.6607
5669,1920000,490.0353
5677,1923000,530.0634
5687,1926000,529.3788
5693,1929000,779.1633
5700,1932000,672.5238
5707,1935000,599.6019
5713,1938000,785.1897
5720,1941000,692.3274
5728,1944000,668.65
5735,1947000,709.0098
5743,1950000,536.7063
5749,1953000,752.62
5759,1956000,498.5092
5766,1959000,625.7112
5772,1962000,703.7797
5780,1965000,582.7822
5787,1968000,589.3499
5795,1971000,575.8281
5804,1974000,488.1201
5813,1977000,573.0349
5820,1980000,716.8374
5827,1983000,608.7932
5837,1986000,498.069
5844,1989000,662.6354
5851,1992000,689.5757
5857,1995000,685.1537
5864,1998000,659.6581
